id,name,geom,type,type_validated,start_date,end_date,municipality,province,num_branches,active_1950_1959,active_1960_1969,active_1970_1979,active_1980_1989,active_1990_1999,active_2000_2009,active_2010_2019,active_2020_2029
03DV,Openbare School Prins Claus,POINT(4.3472792 51.9809421),BAS,True,1-8-1985,,LINSCHOTEN,Utrecht,1,False,False,False,True,True,True,True,True
03DW,Openbare Basisschool Houwingaham,POINT(4.8682673 51.801082),BAS,True,1-8-1985,,BAD NIEUWESCHANS,Groningen,1,False,False,False,True,True,True,True,True
03DX,Jan Prins,POINT(6.8934123 52.2192168),BAS,True,1-8-1985,,ROTTERDAM,Zuid-Holland,1,False,False,False,True,True,True,True,True
03EE,Basisschool De Wereldboom,POINT(4.3471538 51.9808535),BAS,True,1-8-1985,,HULST,Zeeland,1,False,False,False,True,True,True,True,True
03EH,Dalton Kindcentrum De Wereldweide,POINT(6.0920207 52.512764),BAS,True,1-8-1985,,WEZEP,Gelderland,1,False,False,False,True,True,True,True,True
03EI,Openbare Basisschool De Noordster,POINT(6.858206965213647 53.43754245),BAS,True,1-8-1985,,USQUERT,Groningen,1,False,False,False,True,True,True,True,True
03EJ,De Smeltkroes,POINT(4.8682673 51.801082),BAS,True,1-8-1985,,AALDEN,Drenthe,1,False,False,False,True,True,True,True,True
03ES,Samenwerkingsschool MeerWaarde,POINT(4.66543589248697 52.38490765),BAS,True,1-8-1985,,KOUDEKERK AAN DEN RIJN,Zuid-Holland,1,False,False,False,True,True,True,True,True
03EU,basisschool Omnia,POINT(4.279586499754901 51.879845849999995),BAS,True,1-8-1985,,NOOTDORP,Zuid-Holland,1,False,False,False,True,True,True,True,True
03EV,Openbare Basisschool De Klimop,POINT(4.3471538 51.9808535),BAS,True,1-8-1985,,REUSEL,Noord-Brabant,1,False,False,False,True,True,True,True,True
03FH,De Schutse,POINT(4.23304 51.4582199),BAS,True,1-8-1985,,MAASLAND,Zuid-Holland,1,False,False,False,True,True,True,True,True
03FJ,Openbare Basisschool De Sterrenboom,POINT(4.58478748921938 51.6880942),BAS,True,1-8-1985,,STOLWIJK,Zuid-Holland,1,False,False,False,True,True,True,True,True
03FS,Basisschool Hartenaas,POINT(5.9106971 51.9788779),BAS,True,1-8-1985,,GRAVE,Noord-Brabant,1,False,False,False,True,True,True,True,True
03FT,Openbare Basisschool De Borgh,POINT(4.8682673 51.801082),BAS,True,1-8-1985,,ZUIDHORN,Groningen,1,False,False,False,True,True,True,True,True
03FU,Arembergschool,POINT(5.709476294905933 52.46301915),BAS,True,1-8-1985,,ZWARTSLUIS,Overijssel,1,False,False,False,True,True,True,True,True
03GD,Nederlands Hervormde Basisschool De Lelie,POINT(4.3472792 51.9809421),BAS,True,1-8-1985,,DRIEBRUGGEN,Zuid-Holland,1,False,False,False,True,True,True,True,True
03GE,Prinses Margrietschool,POINT(4.4285974 51.9166966),BAS,True,1-8-1985,,ROTTERDAM,Zuid-Holland,2,False,False,False,True,True,True,True,True
03GJ,De Poeljeugd,POINT(6.8934123 52.2192168),BAS,True,1-8-1985,,'S-HEER HENDRIKSKINDEREN,Zeeland,1,False,False,False,True,True,True,True,True
03GL,De Groene Wereld,POINT(6.094789979057632 51.398796700000005),BAS,True,1-8-1985,,VELP NB,Noord-Brabant,1,False,False,False,True,True,True,True,True
03GP,Christelijke Basisschool Delphin,POINT(4.3260052 51.4242467),BAS,True,1-8-1985,,HOOGERHEIDE,Noord-Brabant,1,False,False,False,True,True,True,True,True
03GR,Het Mozaiek,POINT(4.8689263 51.798914),BAS,True,1-8-1985,,HOLLANDSCHEVELD,Drenthe,2,False,False,False,True,True,True,True,True
